"year","country","sex","edu","age","n","prev","source"
2001,"Austria","m","2a","From 50 to 54 years",57013,0.128499111980599,"EUROSTATcensus"
2001,"Austria","m","2a","From 55 to 59 years",51901,0.136647745224003,"EUROSTATcensus"
2001,"Austria","m","2a","From 60 to 64 years",67569,0.18830155447923,"EUROSTATcensus"
2001,"Austria","m","2a","From 65 to 69 years",59115,0.243993544685716,"EUROSTATcensus"
2001,"Austria","m","2b","From 25 to 29 years",193455,0.416213960072892,"EUROSTATcensus"
2001,"Austria","m","2b","From 30 to 34 years",226001,0.383137611910441,"EUROSTATcensus"
2001,"Austria","m","2b","From 35 to 39 years",236755,0.374719065556646,"EUROSTATcensus"
2001,"Austria","m","2b","From 40 to 44 years",205370,0.368127081548295,"EUROSTATcensus"
2001,"Austria","m","2b","From 45 to 49 years",161539,0.353736327504845,"EUROSTATcensus"
2001,"Austria","m","2b","From 50 to 54 years",156467,0.352654141235654,"EUROSTATcensus"
2001,"Austria","m","2b","From 55 to 59 years",130758,0.344266697558818,"EUROSTATcensus"
2001,"Austria","m","2b","From 60 to 64 years",117202,0.326618993740838,"EUROSTATcensus"
2001,"Austria","m","2b","From 65 to 69 years",75193,0.310354505718566,"EUROSTATcensus"
2001,"Austria","m","3","From 25 to 29 years",232103,0.499364238581574,"EUROSTATcensus"
2001,"Austria","m","3","From 30 to 34 years",311890,0.528744517850574,"EUROSTATcensus"
2001,"Austria","m","3","From 35 to 39 years",337216,0.533721629578044,"EUROSTATcensus"
2001,"Austria","m","3","From 40 to 44 years",298877,0.535738996698203,"EUROSTATcensus"
2001,"Austria","m","3","From 45 to 49 years",241525,0.528888791564933,"EUROSTATcensus"
2001,"Austria","m","3","From 50 to 54 years",230204,0.518846746783747,"EUROSTATcensus"
2001,"Austria","m","3","From 55 to 59 years",197157,0.519085557217179,"EUROSTATcensus"
2001,"Austria","m","3","From 60 to 64 years",174063,0.485079451779932,"EUROSTATcensus"
2001,"Austria","m","3","From 65 to 69 years",107973,0.445651949595717,"EUROSTATcensus"
2011,"Austria","f","1","From 25 to 29 years",7303,0.0265036454760894,"EUROSTATcensus"
2011,"Austria","f","1","From 30 to 34 years",5773,0.0215378301746008,"EUROSTATcensus"
2011,"Austria","f","1","From 35 to 39 years",6124,0.0215171638382348,"EUROSTATcensus"
2011,"Austria","f","1","From 40 to 44 years",5692,0.0169008898799538,"EUROSTATcensus"
2011,"Austria","f","1","From 45 to 49 years",5856,0.0166257363900916,"EUROSTATcensus"
2011,"Austria","f","1","From 50 to 54 years",8507,0.0271553155085676,"EUROSTATcensus"
2011,"Austria","f","1","From 55 to 59 years",16236,0.0614392589144823,"EUROSTATcensus"
2011,"Austria","f","1","From 60 to 64 years",33874,0.136003565305721,"EUROSTATcensus"
2011,"Austria","f","1","From 65 to 69 years",37394,0.175058986554811,"EUROSTATcensus"
2011,"Austria","f","2a","From 25 to 29 years",37072,0.134539661110446,"EUROSTATcensus"
2011,"Austria","f","2a","From 30 to 34 years",37238,0.138927025817042,"EUROSTATcensus"
2011,"Austria","f","2a","From 35 to 39 years",46850,0.164611222374477,"EUROSTATcensus"
2011,"Austria","f","2a","From 40 to 44 years",63384,0.188202038677265,"EUROSTATcensus"
2011,"Austria","f","2a","From 45 to 49 years",75112,0.213250053233019,"EUROSTATcensus"
2011,"Austria","f","2a","From 50 to 54 years",75043,0.239545825991471,"EUROSTATcensus"
2011,"Austria","f","2a","From 55 to 59 years",71171,0.269320860815633,"EUROSTATcensus"
2011,"Austria","f","2a","From 60 to 64 years",57587,0.23121087900043,"EUROSTATcensus"
2011,"Austria","f","2a","From 65 to 69 years",47480,0.22227631923898,"EUROSTATcensus"
2011,"Austria","f","2b","From 25 to 29 years",165820,0.601784813480096,"EUROSTATcensus"
2011,"Austria","f","2b","From 30 to 34 years",159625,0.595526787046709,"EUROSTATcensus"
2011,"Austria","f","2b","From 35 to 39 years",170788,0.600077298759706,"EUROSTATcensus"
2011,"Austria","f","2b","From 40 to 44 years",210239,0.624249154510121,"EUROSTATcensus"
2011,"Austria","f","2b","From 45 to 49 years",216752,0.6153793739797,"EUROSTATcensus"
2011,"Austria","f","2b","From 50 to 54 years",184108,0.587693761332005,"EUROSTATcensus"
2011,"Austria","f","2b","From 55 to 59 years",142859,0.540598120797242,"EUROSTATcensus"
2011,"Austria","f","2b","From 60 to 64 years",135169,0.542701361481047,"EUROSTATcensus"
2011,"Austria","f","2b","From 65 to 69 years",114104,0.534174750009363,"EUROSTATcensus"
2011,"Austria","f","3","From 25 to 29 years",65352,0.237171879933369,"EUROSTATcensus"
2011,"Austria","f","3","From 30 to 34 years",65404,0.244008356961648,"EUROSTATcensus"
2011,"Austria","f","3","From 35 to 39 years",60848,0.213794315027582,"EUROSTATcensus"
2011,"Austria","f","3","From 40 to 44 years",57472,0.170647916932661,"EUROSTATcensus"
2011,"Austria","f","3","From 45 to 49 years",54505,0.154744836397189,"EUROSTATcensus"
2011,"Austria","f","3","From 50 to 54 years",45614,0.145605097167956,"EUROSTATcensus"
2011,"Austria","f","3","From 55 to 59 years",33995,0.128641759472643,"EUROSTATcensus"
2011,"Austria","f","3","From 60 to 64 years",22437,0.0900841942128022,"EUROSTATcensus"
2011,"Austria","f","3","From 65 to 69 years",14630,0.0684899441968466,"EUROSTATcensus"
2011,"Austria","m","1","From 25 to 29 years",5966,0.0215195717727856,"EUROSTATcensus"
2011,"Austria","m","1","From 30 to 34 years",4688,0.0173458098842996,"EUROSTATcensus"
2011,"Austria","m","1","From 35 to 39 years",3994,0.0142537481219241,"EUROSTATcensus"
2011,"Austria","m","1","From 40 to 44 years",3418,0.0100988314546986,"EUROSTATcensus"
2011,"Austria","m","1","From 45 to 49 years",3332,0.00930302683415093,"EUROSTATcensus"
2011,"Austria","m","1","From 50 to 54 years",3951,0.0126274409536898,"EUROSTATcensus"
2011,"Austria","m","1","From 55 to 59 years",6095,0.0240891000280611,"EUROSTATcensus"
2011,"Austria","m","1","From 60 to 64 years",12017,0.0518873219975993,"EUROSTATcensus"
2011,"Austria","m","1","From 65 to 69 years",14383,0.0760116477557988,"EUROSTATcensus"
2011,"Austria","m","2a","From 25 to 29 years",39873,0.143823312989655,"EUROSTATcensus"
2011,"Austria","m","2a","From 30 to 34 years",33006,0.1221236776965,"EUROSTATcensus"
2011,"Austria","m","2a","From 35 to 39 years",33850,0.120803548804991,"EUROSTATcensus"
2011,"Austria","m","2a","From 40 to 44 years",40907,0.120863925780384,"EUROSTATcensus"
2011,"Austria","m","2a","From 45 to 49 years",44841,0.125197186755751,"EUROSTATcensus"
2011,"Austria","m","2a","From 50 to 54 years",39662,0.126760203266324,"EUROSTATcensus"
2011,"Austria","m","2a","From 55 to 59 years",37179,0.146941534034993,"EUROSTATcensus"
2011,"Austria","m","2a","From 60 to 64 years",31158,0.134534840542664,"EUROSTATcensus"
2011,"Austria","m","2a","From 65 to 69 years",21701,0.114686002082221,"EUROSTATcensus"
2011,"Austria","m","2b","From 25 to 29 years",178187,0.642726774300596,"EUROSTATcensus"
2011,"Austria","m","2b","From 30 to 34 years",169315,0.626473080324272,"EUROSTATcensus"
2011,"Austria","m","2b","From 35 to 39 years",176893,0.631294007644349,"EUROSTATcensus"
2011,"Austria","m","2b","From 40 to 44 years",220744,0.65221078134464,"EUROSTATcensus"
2011,"Austria","m","2b","From 45 to 49 years",237416,0.662871374206716,"EUROSTATcensus"
2011,"Austria","m","2b","From 50 to 54 years",206997,0.661564767170571,"EUROSTATcensus"
2011,"Austria","m","2b","From 55 to 59 years",160805,0.635545156687838,"EUROSTATcensus"
2011,"Austria","m","2b","From 60 to 64 years",146364,0.631974369381428,"EUROSTATcensus"
2011,"Austria","m","2b","From 65 to 69 years",117099,0.618847802305241,"EUROSTATcensus"
2011,"Austria","m","3","From 25 to 29 years",53210,0.191930340936963,"EUROSTATcensus"
2011,"Austria","m","3","From 30 to 34 years",63258,0.234057432094928,"EUROSTATcensus"
2011,"Austria","m","3","From 35 to 39 years",65470,0.233648695428737,"EUROSTATcensus"
2011,"Austria","m","3","From 40 to 44 years",73386,0.216826461420277,"EUROSTATcensus"
2011,"Austria","m","3","From 45 to 49 years",72574,0.202628412203382,"EUROSTATcensus"
2011,"Austria","m","3","From 50 to 54 years",62280,0.199047588609415,"EUROSTATcensus"
2011,"Austria","m","3","From 55 to 59 years",48940,0.193424209249108,"EUROSTATcensus"
2011,"Austria","m","3","From 60 to 64 years",42059,0.181603468078308,"EUROSTATcensus"
2011,"Austria","m","3","From 65 to 69 years",36038,0.190454547856739,"EUROSTATcensus"
2011,"Belgium","f","1","From 25 to 29 years",11120,0.0363745796642548,"EUROSTATcensus"
2011,"Belgium","f","1","From 30 to 34 years",14129,0.0454053185506548,"EUROSTATcensus"
2011,"Belgium","f","1","From 35 to 39 years",17822,0.0549068659769676,"EUROSTATcensus"
2011,"Belgium","f","1","From 40 to 44 years",23503,0.0663379359398462,"EUROSTATcensus"
2011,"Belgium","f","1","From 45 to 49 years",36364,0.0956265400201435,"EUROSTATcensus"
2011,"Belgium","f","1","From 50 to 54 years",50244,0.13814568480326,"EUROSTATcensus"
2011,"Belgium","f","1","From 55 to 59 years",56606,0.171536452177918,"EUROSTATcensus"
2011,"Belgium","f","1","From 60 to 64 years",73408,0.239367408494334,"EUROSTATcensus"
2011,"Belgium","f","1","From 65 to 69 years",75501,0.329435429329401,"EUROSTATcensus"
2011,"Belgium","f","2a","From 25 to 29 years",33323,0.109002708466903,"EUROSTATcensus"
2011,"Belgium","f","2a","From 30 to 34 years",26999,0.0867646822527517,"EUROSTATcensus"
2011,"Belgium","f","2a","From 35 to 39 years",36696,0.113054783632073,"EUROSTATcensus"
2011,"Belgium","f","2a","From 40 to 44 years",54619,0.154163797093923,"EUROSTATcensus"
2011,"Belgium","f","2a","From 45 to 49 years",80189,0.210873298253088,"EUROSTATcensus"
2011,"Belgium","f","2a","From 50 to 54 years",92769,0.25506800878739,"EUROSTATcensus"
2011,"Belgium","f","2a","From 55 to 59 years",97140,0.294368988527064,"EUROSTATcensus"
2011,"Belgium","f","2a","From 60 to 64 years",95624,0.311808918235917,"EUROSTATcensus"
2011,"Belgium","f","2a","From 65 to 69 years",71060,0.31005790132776,"EUROSTATcensus"
2011,"Belgium","f","2b","From 25 to 29 years",112700,0.36865243958287,"EUROSTATcensus"
2011,"Belgium","f","2b","From 30 to 34 years",117975,0.379127500602555,"EUROSTATcensus"
2011,"Belgium","f","2b","From 35 to 39 years",123569,0.380697257429464,"EUROSTATcensus"
2011,"Belgium","f","2b","From 40 to 44 years",137791,0.388919309496122,"EUROSTATcensus"
2011,"Belgium","f","2b","From 45 to 49 years",135429,0.356138122549445,"EUROSTATcensus"
2011,"Belgium","f","2b","From 50 to 54 years",117624,0.32340673571568,"EUROSTATcensus"
2011,"Belgium","f","2b","From 55 to 59 years",96179,0.291456814366322,"EUROSTATcensus"
2011,"Belgium","f","2b","From 60 to 64 years",73616,0.240045650933399,"EUROSTATcensus"
2011,"Belgium","f","2b","From 65 to 69 years",44056,0.192230662832758,"EUROSTATcensus"
2011,"Belgium","f","3","From 25 to 29 years",148565,0.485970272285972,"EUROSTATcensus"
2011,"Belgium","f","3","From 30 to 34 years",152072,0.488702498594039,"EUROSTATcensus"
2011,"Belgium","f","3","From 35 to 39 years",146499,0.451341092961496,"EUROSTATcensus"
2011,"Belgium","f","3","From 40 to 44 years",138379,0.390578957470109,"EUROSTATcensus"
2011,"Belgium","f","3","From 45 to 49 years",128289,0.337362039177324,"EUROSTATcensus"
2011,"Belgium","f","3","From 50 to 54 years",103066,0.28337957069367,"EUROSTATcensus"
2011,"Belgium","f","3","From 55 to 59 years",80069,0.242637744928696,"EUROSTATcensus"
2011,"Belgium","f","3","From 60 to 64 years",64027,0.20877802233635,"EUROSTATcensus"
2011,"Belgium","f","3","From 65 to 69 years",38566,0.168276006510081,"EUROSTATcensus"
2011,"Belgium","m","1","From 25 to 29 years",15587,0.0501827079409539,"EUROSTATcensus"
2011,"Belgium","m","1","From 30 to 34 years",18579,0.059376987462408,"EUROSTATcensus"
2011,"Belgium","m","1","From 35 to 39 years",22620,0.0692528832406186,"EUROSTATcensus"
2011,"Belgium","m","1","From 40 to 44 years",28087,0.0785623979055249,"EUROSTATcensus"
2011,"Belgium","m","1","From 45 to 49 years",38826,0.101631560072979,"EUROSTATcensus"
2011,"Belgium","m","1","From 50 to 54 years",49499,0.136798410342721,"EUROSTATcensus"
2011,"Belgium","m","1","From 55 to 59 years",52522,0.161690232767193,"EUROSTATcensus"
2011,"Belgium","m","1","From 60 to 64 years",62731,0.211300862301267,"EUROSTATcensus"
2011,"Belgium","m","1","From 65 to 69 years",58653,0.277634194831014,"EUROSTATcensus"
2011,"Belgium","m","2a","From 25 to 29 years",57510,0.185154778577293,"EUROSTATcensus"
2011,"Belgium","m","2a","From 30 to 34 years",43898,0.140294472018127,"EUROSTATcensus"
2011,"Belgium","m","2a","From 35 to 39 years",50506,0.154628033640614,"EUROSTATcensus"
2011,"Belgium","m","2a","From 40 to 44 years",69409,0.194144532211506,"EUROSTATcensus"
2011,"Belgium","m","2a","From 45 to 49 years",96003,0.251298991956066,"EUROSTATcensus"
2011,"Belgium","m","2a","From 50 to 54 years",99788,0.275780112149326,"EUROSTATcensus"
2011,"Belgium","m","2a","From 55 to 59 years",93705,0.288473082926199,"EUROSTATcensus"
2011,"Belgium","m","2a","From 60 to 64 years",85039,0.286442333602802,"EUROSTATcensus"
2011,"Belgium","m","2a","From 65 to 69 years",58153,0.27526744296128,"EUROSTATcensus"
2011,"Belgium","m","2b","From 25 to 29 years",134808,0.434017482010914,"EUROSTATcensus"
2011,"Belgium","m","2b","From 30 to 34 years",139861,0.446984490202909,"EUROSTATcensus"
2011,"Belgium","m","2b","From 35 to 39 years",139969,0.428525942277018,"EUROSTATcensus"
2011,"Belgium","m","2b","From 40 to 44 years",146494,0.409759672402605,"EUROSTATcensus"
2011,"Belgium","m","2b","From 45 to 49 years",135799,0.355469639580449,"EUROSTATcensus"
2011,"Belgium","m","2b","From 50 to 54 years",114962,0.317715890216367,"EUROSTATcensus"
2011,"Belgium","m","2b","From 55 to 59 years",95473,0.29391591319794,"EUROSTATcensus"
2011,"Belgium","m","2b","From 60 to 64 years",76151,0.256504311506333,"EUROSTATcensus"
2011,"Belgium","m","2b","From 65 to 69 years",45894,0.217239420619142,"EUROSTATcensus"
2011,"Belgium","m","3","From 25 to 29 years",102700,0.330645031470839,"EUROSTATcensus"
2011,"Belgium","m","3","From 30 to 34 years",110561,0.353344050316556,"EUROSTATcensus"
2011,"Belgium","m","3","From 35 to 39 years",113534,0.34759314084175,"EUROSTATcensus"
2011,"Belgium","m","3","From 40 to 44 years",113522,0.317533397480364,"EUROSTATcensus"
2011,"Belgium","m","3","From 45 to 49 years",111399,0.291599808390506,"EUROSTATcensus"
2011,"Belgium","m","3","From 50 to 54 years",97590,0.269705587291586,"EUROSTATcensus"
2011,"Belgium","m","3","From 55 to 59 years",83131,0.255920771108669,"EUROSTATcensus"
2011,"Belgium","m","3","From 60 to 64 years",72959,0.245752492589598,"EUROSTATcensus"
2011,"Belgium","m","3","From 65 to 69 years",48560,0.229858941588564,"EUROSTATcensus"
2001,"Bulgaria","f","1","From 25 to 29 years",15039,0.0302063771026864,"EUROSTATcensus"
2001,"Bulgaria","f","1","From 30 to 34 years",12618,0.0262853095575369,"EUROSTATcensus"
2001,"Bulgaria","f","1","From 35 to 39 years",12032,0.025651685417213,"EUROSTATcensus"
2001,"Bulgaria","f","1","From 40 to 44 years",13918,0.0282973601600494,"EUROSTATcensus"
2001,"Bulgaria","f","1","From 45 to 49 years",15368,0.0310939535937715,"EUROSTATcensus"
2001,"Bulgaria","f","1","From 50 to 54 years",20093,0.039453428735244,"EUROSTATcensus"
2001,"Bulgaria","f","1","From 55 to 59 years",27751,0.071697820723153,"EUROSTATcensus"
2001,"Bulgaria","f","1","From 60 to 64 years",40715,0.120180529071792,"EUROSTATcensus"
2001,"Bulgaria","f","1","From 65 to 69 years",64487,0.194319308385137,"EUROSTATcensus"
2001,"Bulgaria","f","2a","From 25 to 29 years",45076,0.0905367813206126,"EUROSTATcensus"
2001,"Bulgaria","f","2a","From 30 to 34 years",40370,0.0840971585701192,"EUROSTATcensus"
2001,"Bulgaria","f","2a","From 35 to 39 years",40697,0.0867641822992284,"EUROSTATcensus"
2001,"Bulgaria","f","2a","From 40 to 44 years",45306,0.0921138237829573,"EUROSTATcensus"
2001,"Bulgaria","f","2a","From 45 to 49 years",60246,0.121895258212543,"EUROSTATcensus"
2001,"Bulgaria","f","2a","From 50 to 54 years",80383,0.15783531389166,"EUROSTATcensus"
2001,"Bulgaria","f","2a","From 55 to 59 years",92138,0.238048856105721,"EUROSTATcensus"
2001,"Bulgaria","f","2a","From 60 to 64 years",93653,0.276440306745931,"EUROSTATcensus"
2001,"Bulgaria","f","2a","From 65 to 69 years",103036,0.310479387454386,"EUROSTATcensus"
2001,"Bulgaria","f","2b","From 25 to 29 years",132942,0.267018830027617,"EUROSTATcensus"
2001,"Bulgaria","f","2b","From 30 to 34 years",138204,0.287901008249313,"EUROSTATcensus"
2001,"Bulgaria","f","2b","From 35 to 39 years",142454,0.303705551398243,"EUROSTATcensus"
2001,"Bulgaria","f","2b","From 40 to 44 years",141771,0.288241489240578,"EUROSTATcensus"
2001,"Bulgaria","f","2b","From 45 to 49 years",133747,0.270609253728927,"EUROSTATcensus"
2001,"Bulgaria","f","2b","From 50 to 54 years",142731,0.280258166366899,"EUROSTATcensus"
2001,"Bulgaria","f","2b","From 55 to 59 years",85517,0.220942760072858,"EUROSTATcensus"
2001,"Bulgaria","f","2b","From 60 to 64 years",69569,0.205350343288604,"EUROSTATcensus"
2001,"Bulgaria","f","2b","From 65 to 69 years",60162,0.181286743546244,"EUROSTATcensus"
2001,"Bulgaria","f","3","From 25 to 29 years",304818,0.612238011549084,"EUROSTATcensus"
2001,"Bulgaria","f","3","From 30 to 34 years",288848,0.601716523623031,"EUROSTATcensus"
2001,"Bulgaria","f","3","From 35 to 39 years",273870,0.583878580885316,"EUROSTATcensus"
2001,"Bulgaria","f","3","From 40 to 44 years",290853,0.591347326816415,"EUROSTATcensus"
2001,"Bulgaria","f","3","From 45 to 49 years",284883,0.576401534464758,"EUROSTATcensus"
2001,"Bulgaria","f","3","From 50 to 54 years",266077,0.522453091006197,"EUROSTATcensus"
2001,"Bulgaria","f","3","From 55 to 59 years",181649,0.469310563098268,"EUROSTATcensus"
2001,"Bulgaria","f","3","From 60 to 64 years",134845,0.398028820893672,"EUROSTATcensus"
2001,"Bulgaria","f","3","From 65 to 69 years",104176,0.313914560614233,"EUROSTATcensus"
2001,"Bulgaria","m","1","From 25 to 29 years",13535,0.0265648429465288,"EUROSTATcensus"
2001,"Bulgaria","m","1","From 30 to 34 years",10514,0.0214767787691604,"EUROSTATcensus"
2001,"Bulgaria","m","1","From 35 to 39 years",9647,0.0204770405401676,"EUROSTATcensus"
2001,"Bulgaria","m","1","From 40 to 44 years",10144,0.0209983315600121,"EUROSTATcensus"
2001,"Bulgaria","m","1","From 45 to 49 years",10488,0.0224293788935439,"EUROSTATcensus"
2001,"Bulgaria","m","1","From 50 to 54 years",12616,0.0268042857962356,"EUROSTATcensus"
2001,"Bulgaria","m","1","From 55 to 59 years",15721,0.0449081612248979,"EUROSTATcensus"
2001,"Bulgaria","m","1","From 60 to 64 years",22384,0.0756852893143218,"EUROSTATcensus"
2001,"Bulgaria","m","1","From 65 to 69 years",35294,0.125547362167892,"EUROSTATcensus"
2001,"Bulgaria","m","2a","From 25 to 29 years",57363,0.112585082079182,"EUROSTATcensus"
2001,"Bulgaria","m","2a","From 30 to 34 years",48884,0.0998545609046639,"EUROSTATcensus"
2001,"Bulgaria","m","2a","From 35 to 39 years",47312,0.100426012442875,"EUROSTATcensus"
2001,"Bulgaria","m","2a","From 40 to 44 years",55128,0.114116327113599,"EUROSTATcensus"
2001,"Bulgaria","m","2a","From 45 to 49 years",73469,0.157118996751504,"EUROSTATcensus"
2001,"Bulgaria","m","2a","From 50 to 54 years",90973,0.193283631241355,"EUROSTATcensus"
2001,"Bulgaria","m","2a","From 55 to 59 years",92185,0.263333047676179,"EUROSTATcensus"
2001,"Bulgaria","m","2a","From 60 to 64 years",88155,0.298071688684062,"EUROSTATcensus"
2001,"Bulgaria","m","2a","From 65 to 69 years",91935,0.327029997758972,"EUROSTATcensus"
2001,"Bulgaria","m","2b","From 25 to 29 years",175173,0.343808144327469,"EUROSTATcensus"
2001,"Bulgaria","m","2b","From 30 to 34 years",164980,0.337001993659509,"EUROSTATcensus"
2001,"Bulgaria","m","2b","From 35 to 39 years",157791,0.334932383525821,"EUROSTATcensus"
2001,"Bulgaria","m","2b","From 40 to 44 years",157804,0.326658193365157,"EUROSTATcensus"
2001,"Bulgaria","m","2b","From 45 to 49 years",140088,0.299588751948777,"EUROSTATcensus"
2001,"Bulgaria","m","2b","From 50 to 54 years",134869,0.286546228682031,"EUROSTATcensus"
2001,"Bulgaria","m","2b","From 55 to 59 years",84361,0.240983231925044,"EUROSTATcensus"
2001,"Bulgaria","m","2b","From 60 to 64 years",61010,0.206288398010489,"EUROSTATcensus"
2001,"Bulgaria","m","2b","From 65 to 69 years",47717,0.169738297743676,"EUROSTATcensus"
2001,"Bulgaria","m","3","From 25 to 29 years",263437,0.51704193064682,"EUROSTATcensus"
2001,"Bulgaria","m","3","From 30 to 34 years",265174,0.541666666666667,"EUROSTATcensus"
2001,"Bulgaria","m","3","From 35 to 39 years",256363,0.544164563491137,"EUROSTATcensus"
2001,"Bulgaria","m","3","From 40 to 44 years",260010,0.538227147961233,"EUROSTATcensus"
2001,"Bulgaria","m","3","From 45 to 49 years",243556,0.520862872406175,"EUROSTATcensus"
2001,"Bulgaria","m","3","From 50 to 54 years",232213,0.493365854280378,"EUROSTATcensus"
2001,"Bulgaria","m","3","From 55 to 59 years",157803,0.45077555917388,"EUROSTATcensus"
2001,"Bulgaria","m","3","From 60 to 64 years",124202,0.419954623991128,"EUROSTATcensus"
2001,"Bulgaria","m","3","From 65 to 69 years",106175,0.37768434232946,"EUROSTATcensus"
2011,"Bulgaria","f","1","From 25 to 29 years",19337,0.0821201671536319,"EUROSTATcensus"
2011,"Bulgaria","f","1","From 30 to 34 years",16932,0.0658271745088815,"EUROSTATcensus"
2011,"Bulgaria","f","1","From 35 to 39 years",12480,0.047243736797874,"EUROSTATcensus"
2011,"Bulgaria","f","1","From 40 to 44 years",10889,0.0435830214733135,"EUROSTATcensus"
2011,"Bulgaria","f","1","From 45 to 49 years",10633,0.0434681296399254,"EUROSTATcensus"
2011,"Bulgaria","f","1","From 50 to 54 years",12603,0.0484093999431517,"EUROSTATcensus"
2011,"Bulgaria","f","1","From 55 to 59 years",14506,0.0532271676512677,"EUROSTATcensus"
2011,"Bulgaria","f","1","From 60 to 64 years",18560,0.0635029253772197,"EUROSTATcensus"
2011,"Bulgaria","f","1","From 65 to 69 years",23792,0.102170346894781,"EUROSTATcensus"
2011,"Bulgaria","f","2a","From 25 to 29 years",29798,0.126545831351498,"EUROSTATcensus"
2011,"Bulgaria","f","2a","From 30 to 34 years",34405,0.133757615106194,"EUROSTATcensus"
2011,"Bulgaria","f","2a","From 35 to 39 years",35990,0.136242154435536,"EUROSTATcensus"
2011,"Bulgaria","f","2a","From 40 to 44 years",32795,0.131261382056875,"EUROSTATcensus"
2011,"Bulgaria","f","2a","From 45 to 49 years",34457,0.140861595316741,"EUROSTATcensus"
2011,"Bulgaria","f","2a","From 50 to 54 years",39497,0.151711978858578,"EUROSTATcensus"
2011,"Bulgaria","f","2a","From 55 to 59 years",52728,0.193475947602099,"EUROSTATcensus"
2011,"Bulgaria","f","2a","From 60 to 64 years",69966,0.239388236904232,"EUROSTATcensus"
2011,"Bulgaria","f","2a","From 65 to 69 years",77007,0.330692329494216,"EUROSTATcensus"
2011,"Bulgaria","f","2b","From 25 to 29 years",95071,0.40374651763267,"EUROSTATcensus"
2011,"Bulgaria","f","2b","From 30 to 34 years",101572,0.394885292299558,"EUROSTATcensus"
2011,"Bulgaria","f","2b","From 35 to 39 years",118149,0.447259636132373,"EUROSTATcensus"
2011,"Bulgaria","f","2b","From 40 to 44 years",125410,0.501951209750045,"EUROSTATcensus"
2011,"Bulgaria","f","2b","From 45 to 49 years",131287,0.53670651143016,"EUROSTATcensus"
2011,"Bulgaria","f","2b","From 50 to 54 years",133748,0.513739619423681,"EUROSTATcensus"
2011,"Bulgaria","f","2b","From 55 to 59 years",131547,0.482688144424467,"EUROSTATcensus"
2011,"Bulgaria","f","2b","From 60 to 64 years",144039,0.492828548944469,"EUROSTATcensus"
2011,"Bulgaria","f","2b","From 65 to 69 years",86712,0.37236865837005,"EUROSTATcensus"
