"year","country","sex","edu","age","n","prev","source","alln"
"2011","Austria","Males","Post-secondary non-tertiary education (level 4)","From 25 to 29 years",34200,0.0545215415886174,"EUROSTATcensus",NA
"2011","Austria","Males","Post-secondary non-tertiary education (level 4)","From 30 to 34 years",27740,0.0422418322052094,"EUROSTATcensus",NA
"2011","Austria","Males","Post-secondary non-tertiary education (level 4)","From 35 to 39 years",27685,0.0442015854135566,"EUROSTATcensus",NA
"2011","Austria","Males","Primary education or first stage of basic education (level 1)","From 25 to 29 years",5966,0.00951098003268104,"EUROSTATcensus",NA
"2011","Austria","Males","Primary education or first stage of basic education (level 1)","From 30 to 34 years",4688,0.00713877827606423,"EUROSTATcensus",NA
"2011","Austria","Males","Primary education or first stage of basic education (level 1)","From 35 to 39 years",3994,0.00637677919962959,"EUROSTATcensus",NA
"2011","Austria","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",667,0.00106332948069029,"EUROSTATcensus",NA
"2011","Austria","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",3116,0.00474497293263996,"EUROSTATcensus",NA
"2011","Austria","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",4416,0.00705054004646076,"EUROSTATcensus",NA
"2011","Austria","Males","Upper secondary education (level 3)","From 25 to 29 years",143987,0.229543661073692,"EUROSTATcensus",NA
"2011","Austria","Males","Upper secondary education (level 3)","From 30 to 34 years",141575,0.215587144717106,"EUROSTATcensus",NA
"2011","Austria","Males","Upper secondary education (level 3)","From 35 to 39 years",149208,0.238223953635036,"EUROSTATcensus",NA
"2011","Belgium","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",147660,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",149637,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",144171,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",33323,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",26999,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",36696,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","No education","From 25 to 29 years",445,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","No education","From 30 to 34 years",2000,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","No education","From 35 to 39 years",3454,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Post-secondary non-tertiary education (level 4)","From 25 to 29 years",28297,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Post-secondary non-tertiary education (level 4)","From 30 to 34 years",19626,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Post-secondary non-tertiary education (level 4)","From 35 to 39 years",16454,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Primary education or first stage of basic education (level 1)","From 25 to 29 years",10675,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Primary education or first stage of basic education (level 1)","From 30 to 34 years",12129,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Primary education or first stage of basic education (level 1)","From 35 to 39 years",14368,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",905,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",2435,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",2328,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Upper secondary education (level 3)","From 25 to 29 years",84403,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Upper secondary education (level 3)","From 30 to 34 years",98349,NA,"EUROSTATcensus",NA
"2011","Belgium","Females","Upper secondary education (level 3)","From 35 to 39 years",107115,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",101769,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",107451,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",110427,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",57510,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",43898,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",50506,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","No education","From 25 to 29 years",560,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","No education","From 30 to 34 years",2105,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","No education","From 35 to 39 years",3610,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Post-secondary non-tertiary education (level 4)","From 25 to 29 years",25749,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Post-secondary non-tertiary education (level 4)","From 30 to 34 years",14949,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Post-secondary non-tertiary education (level 4)","From 35 to 39 years",13829,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Primary education or first stage of basic education (level 1)","From 25 to 29 years",15027,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Primary education or first stage of basic education (level 1)","From 30 to 34 years",16474,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Primary education or first stage of basic education (level 1)","From 35 to 39 years",19010,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",931,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",3110,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",3107,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Upper secondary education (level 3)","From 25 to 29 years",109059,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Upper secondary education (level 3)","From 30 to 34 years",124912,NA,"EUROSTATcensus",NA
"2011","Belgium","Males","Upper secondary education (level 3)","From 35 to 39 years",126140,NA,"EUROSTATcensus",NA
"2011","Bulgaria","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",91124,0.330863103775058,"EUROSTATcensus",NA
"2011","Bulgaria","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",103369,0.392121085674184,"EUROSTATcensus",NA
"2011","Bulgaria","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",96507,0.373832101520011,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",29798,0.108193876106066,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",34405,0.130512300134666,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",35990,0.139411828506794,"EUROSTATcensus",NA
"2011","Bulgaria","Females","No education","From 25 to 29 years",8245,0.0299368584634712,"EUROSTATcensus",NA
"2011","Bulgaria","Females","No education","From 30 to 34 years",6156,0.0233522371640461,"EUROSTATcensus",NA
"2011","Bulgaria","Females","No education","From 35 to 39 years",4935,0.0191163482545438,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Post-secondary non-tertiary education (level 4)","From 25 to 29 years",1903,0.00690962300254527,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Post-secondary non-tertiary education (level 4)","From 30 to 34 years",2124,0.00805720463554805,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Post-secondary non-tertiary education (level 4)","From 35 to 39 years",3083,0.0119423914222408,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Primary education or first stage of basic education (level 1)","From 25 to 29 years",11092,0.0402740611372738,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Primary education or first stage of basic education (level 1)","From 30 to 34 years",10776,0.0408777952696167,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Primary education or first stage of basic education (level 1)","From 35 to 39 years",7545,0.0292265142007158,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",142,0.000515589314956084,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",941,0.00356959960548527,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",1036,0.00401307736407444,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Upper secondary education (level 3)","From 25 to 29 years",93168,0.33828468518189,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Upper secondary education (level 3)","From 30 to 34 years",99448,0.377247121749521,"EUROSTATcensus",NA
"2011","Bulgaria","Females","Upper secondary education (level 3)","From 35 to 39 years",115066,0.445722741288213,"EUROSTATcensus",NA
"2011","Bulgaria","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",59293,0.206435417776432,"EUROSTATcensus",NA
"2011","Bulgaria","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",62393,0.229257072308591,"EUROSTATcensus",NA
"2011","Bulgaria","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",59817,0.228434712208237,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",38793,0.135062303506335,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",46519,0.170929587401204,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",48249,0.184257759990224,"EUROSTATcensus",NA
"2011","Bulgaria","Males","No education","From 25 to 29 years",7603,0.0264707213558803,"EUROSTATcensus",NA
"2011","Bulgaria","Males","No education","From 30 to 34 years",5565,0.0204480567915841,"EUROSTATcensus",NA
"2011","Bulgaria","Males","No education","From 35 to 39 years",4097,0.0156460039105463,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Post-secondary non-tertiary education (level 4)","From 25 to 29 years",2685,0.00934813716171755,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Post-secondary non-tertiary education (level 4)","From 30 to 34 years",2902,0.0106631196422601,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Post-secondary non-tertiary education (level 4)","From 35 to 39 years",3312,0.0126481730416718,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Primary education or first stage of basic education (level 1)","From 25 to 29 years",10502,0.036563924198271,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Primary education or first stage of basic education (level 1)","From 30 to 34 years",10200,0.0374789181085639,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Primary education or first stage of basic education (level 1)","From 35 to 39 years",6826,0.026067762434315,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",147,0.000511797453546547,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",763,0.00280357005067003,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",896,0.00342172797262618,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Upper secondary education (level 3)","From 25 to 29 years",136593,0.47556428280465,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Upper secondary education (level 3)","From 30 to 34 years",148384,0.545222723982466,"EUROSTATcensus",NA
"2011","Bulgaria","Males","Upper secondary education (level 3)","From 35 to 39 years",157973,0.603281956495173,"EUROSTATcensus",NA
"2011","Croatia","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",47607,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",45468,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",36527,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",6870,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",12661,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",20155,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","No education","From 25 to 29 years",651,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","No education","From 30 to 34 years",604,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","No education","From 35 to 39 years",646,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Primary education or first stage of basic education (level 1)","From 25 to 29 years",144,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Primary education or first stage of basic education (level 1)","From 30 to 34 years",152,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Primary education or first stage of basic education (level 1)","From 35 to 39 years",113,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",74,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",535,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",784,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Upper secondary education (level 3)","From 25 to 29 years",86231,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Upper secondary education (level 3)","From 30 to 34 years",85111,NA,"EUROSTATcensus",NA
"2011","Croatia","Females","Upper secondary education (level 3)","From 35 to 39 years",82460,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",29259,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",30860,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",26712,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",9685,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",15043,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",20262,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","No education","From 25 to 29 years",637,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","No education","From 30 to 34 years",599,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","No education","From 35 to 39 years",583,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Primary education or first stage of basic education (level 1)","From 25 to 29 years",183,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Primary education or first stage of basic education (level 1)","From 30 to 34 years",148,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Primary education or first stage of basic education (level 1)","From 35 to 39 years",124,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",73,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",503,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",761,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Upper secondary education (level 3)","From 25 to 29 years",107445,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Upper secondary education (level 3)","From 30 to 34 years",102692,NA,"EUROSTATcensus",NA
"2011","Croatia","Males","Upper secondary education (level 3)","From 35 to 39 years",95392,NA,"EUROSTATcensus",NA
"2011","Cyprus","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",20605,0.82245639244801,"EUROSTATcensus",NA
"2011","Cyprus","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",16663,0.65506938711326,"EUROSTATcensus",NA
"2011","Cyprus","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",12927,0.485502891910163,"EUROSTATcensus",NA
"2011","Cyprus","Females","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",2611,0.104219055602123,"EUROSTATcensus",NA
"2011","Cyprus","Females","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",3049,0.119864763926564,"EUROSTATcensus",NA
"2011","Cyprus","Females","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",3394,0.127469390821002,"EUROSTATcensus",NA
"2011","Cyprus","Females","No education","From 25 to 29 years",203,0.00810282201732327,"EUROSTATcensus",NA
"2011","Cyprus","Females","No education","From 30 to 34 years",234,0.00919919801863427,"EUROSTATcensus",NA
"2011","Cyprus","Females","No education","From 35 to 39 years",254,0.00953954781041088,"EUROSTATcensus",NA
"2011","Cyprus","Females","Post-secondary non-tertiary education (level 4)","From 25 to 29 years",2079,0.0829840737636211,"EUROSTATcensus",NA
"2011","Cyprus","Females","Post-secondary non-tertiary education (level 4)","From 30 to 34 years",2391,0.0939969336006605,"EUROSTATcensus",NA
"2011","Cyprus","Females","Post-secondary non-tertiary education (level 4)","From 35 to 39 years",2509,0.0942312025839405,"EUROSTATcensus",NA
"2011","Cyprus","Females","Primary education or first stage of basic education (level 1)","From 25 to 29 years",1288,0.0514110086616373,"EUROSTATcensus",NA
"2011","Cyprus","Females","Primary education or first stage of basic education (level 1)","From 30 to 34 years",1610,0.0632936273931674,"EUROSTATcensus",NA
"2011","Cyprus","Females","Primary education or first stage of basic education (level 1)","From 35 to 39 years",1975,0.0741756178171712,"EUROSTATcensus",NA
"2011","Cyprus","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",146,0.00582764539176945,"EUROSTATcensus",NA
"2011","Cyprus","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",311,0.0122262845461336,"EUROSTATcensus",NA
"2011","Cyprus","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",250,0.00938931871103433,"EUROSTATcensus",NA
"2011","Cyprus","Females","Upper secondary education (level 3)","From 25 to 29 years",9438,0.376721350736439,"EUROSTATcensus",NA
"2011","Cyprus","Females","Upper secondary education (level 3)","From 30 to 34 years",11287,0.443723709556945,"EUROSTATcensus",NA
"2011","Cyprus","Females","Upper secondary education (level 3)","From 35 to 39 years",11932,0.448133403440246,"EUROSTATcensus",NA
"2011","Cyprus","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",14841,0.646328717010713,"EUROSTATcensus",NA
"2011","Cyprus","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",12445,0.552325581395349,"EUROSTATcensus",NA
"2011","Cyprus","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",9668,0.392195042797452,"EUROSTATcensus",NA
"2011","Cyprus","Males","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",3070,0.13369915512586,"EUROSTATcensus",NA
"2011","Cyprus","Males","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",3070,0.136250665719865,"EUROSTATcensus",NA
"2011","Cyprus","Males","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",2515,0.102024258650765,"EUROSTATcensus",NA
"2011","Cyprus","Males","No education","From 25 to 29 years",236,0.0102778503614668,"EUROSTATcensus",NA
"2011","Cyprus","Males","No education","From 30 to 34 years",206,0.00914255281377596,"EUROSTATcensus",NA
"2011","Cyprus","Males","No education","From 35 to 39 years",194,0.00786986329155004,"EUROSTATcensus",NA
"2011","Cyprus","Males","Post-secondary non-tertiary education (level 4)","From 25 to 29 years",1206,0.052521557355631,"EUROSTATcensus",NA
"2011","Cyprus","Males","Post-secondary non-tertiary education (level 4)","From 30 to 34 years",1150,0.051038522989526,"EUROSTATcensus",NA
"2011","Cyprus","Males","Post-secondary non-tertiary education (level 4)","From 35 to 39 years",1081,0.0438521763822969,"EUROSTATcensus",NA
"2011","Cyprus","Males","Primary education or first stage of basic education (level 1)","From 25 to 29 years",1622,0.070638446128386,"EUROSTATcensus",NA
"2011","Cyprus","Males","Primary education or first stage of basic education (level 1)","From 30 to 34 years",1567,0.0695455352387715,"EUROSTATcensus",NA
"2011","Cyprus","Males","Primary education or first stage of basic education (level 1)","From 35 to 39 years",1370,0.0555758387083688,"EUROSTATcensus",NA
"2011","Cyprus","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",98,0.00426792091281247,"EUROSTATcensus",NA
"2011","Cyprus","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",365,0.0161991833836322,"EUROSTATcensus",NA
"2011","Cyprus","Males","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",380,0.0154151961380877,"EUROSTATcensus",NA
"2011","Cyprus","Males","Upper secondary education (level 3)","From 25 to 29 years",15074,0.656475916731992,"EUROSTATcensus",NA
"2011","Cyprus","Males","Upper secondary education (level 3)","From 30 to 34 years",12962,0.575270726078466,"EUROSTATcensus",NA
"2011","Cyprus","Males","Upper secondary education (level 3)","From 35 to 39 years",11529,0.467688937568456,"EUROSTATcensus",NA
"2011","Czechia","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",116719,0.280836453230417,"EUROSTATcensus",NA
"2011","Czechia","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",103262,0.312265072409862,"EUROSTATcensus",NA
"2011","Czechia","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",66630,0.200054644972813,"EUROSTATcensus",NA
"2011","Czechia","Females","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",21627,0.0520365148263284,"EUROSTATcensus",NA
"2011","Czechia","Females","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",25067,0.0758027984166296,"EUROSTATcensus",NA
"2011","Czechia","Females","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",23951,0.0719121837272075,"EUROSTATcensus",NA
"2011","Czechia","Females","No education","From 25 to 29 years",1383,0.0033276228790314,"EUROSTATcensus",NA
"2011","Czechia","Females","No education","From 30 to 34 years",1651,0.00499263654150299,"EUROSTATcensus",NA
"2011","Czechia","Females","No education","From 35 to 39 years",1535,0.00460879303666918,"EUROSTATcensus",NA
"2011","Czechia","Females","Post-secondary non-tertiary education (level 4)","From 25 to 29 years",7107,0.0171000837319423,"EUROSTATcensus",NA
"2011","Czechia","Females","Post-secondary non-tertiary education (level 4)","From 30 to 34 years",15819,0.0478367761659817,"EUROSTATcensus",NA
"2011","Czechia","Females","Post-secondary non-tertiary education (level 4)","From 35 to 39 years",21303,0.0639616404300739,"EUROSTATcensus",NA
"2011","Czechia","Females","Primary education or first stage of basic education (level 1)","From 25 to 29 years",626,0.00150621252514364,"EUROSTATcensus",NA
"2011","Czechia","Females","Primary education or first stage of basic education (level 1)","From 30 to 34 years",643,0.00194443688442545,"EUROSTATcensus",NA
"2011","Czechia","Females","Primary education or first stage of basic education (level 1)","From 35 to 39 years",631,0.0018945592222399,"EUROSTATcensus",NA
"2011","Czechia","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",624,0.00150140034455213,"EUROSTATcensus",NA
"2011","Czechia","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",2980,0.0090115426369951,"EUROSTATcensus",NA
